time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-11-18T23:02:08.410Z,24.1937,125.2046,30.25,4.5,mwr,,76,2.019,1.14,us,us1000htrh,2018-11-19T00:57:49.040Z,"67km S of Hirara, Japan",earthquake,8.3,5.1,0.06,27,reviewed,us,us
2018-11-18T01:51:22.160Z,30.7822,141.9762,10,4.8,mb,,124,2.964,0.81,us,us1000htd9,2018-11-18T02:24:53.040Z,"Izu Islands, Japan region",earthquake,9,1.9,0.095,36,reviewed,us,us
2018-11-17T07:40:05.930Z,25.3931,141.0321,115.25,4.8,mb,,108,1.986,1.03,us,us1000ht4f,2018-11-17T07:58:15.040Z,"74km NNW of Iwo Jima, Japan",earthquake,6.2,7.3,0.097,33,reviewed,us,us
2018-11-16T12:09:51.380Z,26.3407,143.8582,36.24,4.8,mb,,139,1.675,0.93,us,us1000hspr,2018-11-16T12:36:09.040Z,"182km ESE of Chichi-shima, Japan",earthquake,10.3,7.6,0.062,80,reviewed,us,us
2018-11-16T02:49:12.760Z,39.6014,141.937,49.23,4.5,mb,,137,1.361,0.69,us,us1000hsi3,2018-11-19T05:23:47.346Z,"4km SSW of Miyako, Japan",earthquake,7.3,7.5,0.108,25,reviewed,us,us
2018-11-14T10:07:30.980Z,42.6765,141.9846,35,4.8,mb,,75,1.092,0.61,us,us1000hrjc,2018-11-14T11:03:03.312Z,"31km E of Tomakomai, Japan",earthquake,5.5,1.9,0.04,193,reviewed,us,us
2018-11-14T04:09:41.120Z,34.7663,139.9805,105.5,5,mb,,97,1.483,0.71,us,us1000hrh4,2018-11-15T22:08:18.906Z,"26km SSE of Tateyama, Japan",earthquake,6.3,6.8,0.107,28,reviewed,us,us
2018-11-13T21:09:33.230Z,45.2679,150.481,54.13,4.8,mb,,129,5.628,0.75,us,us1000hrde,2018-11-23T06:08:26.040Z,"203km E of Kuril'sk, Russia",earthquake,10,5.7,0.059,89,reviewed,us,us
2018-11-12T01:44:52.130Z,42.9554,139.2679,8.66,4.5,mb,,94,2.546,0.62,us,us1000hude,2018-11-21T01:18:05.040Z,"101km W of Iwanai, Japan",earthquake,7.1,3,0.086,40,reviewed,us,us
2018-11-11T08:26:37.930Z,31.4232,141.8762,10,4.9,mb,,123,2.428,0.95,us,us1000hqjj,2018-11-11T08:42:08.040Z,"268km SE of Hachijo-jima, Japan",earthquake,7.9,1.9,0.087,42,reviewed,us,us
2018-11-11T01:50:00.770Z,49.5372,155.8279,42.08,4.6,mb,,171,3.763,0.96,us,us1000hqhl,2018-11-11T02:16:10.040Z,"128km S of Severo-Kuril'sk, Russia",earthquake,11.9,9.2,0.081,46,reviewed,us,us
2018-11-09T18:19:01.000Z,31.4465,141.757,10,4.7,mb,,138,2.34,0.64,us,us1000hpwx,2018-11-10T15:47:55.040Z,"258km SE of Hachijo-jima, Japan",earthquake,7,1.9,0.068,65,reviewed,us,us
2018-11-09T18:08:35.420Z,31.4081,141.6164,7.65,4.9,mb,,89,2.286,0.92,us,us1000hpwj,2018-11-10T15:37:39.040Z,"252km SE of Hachijo-jima, Japan",earthquake,6.7,4.7,0.046,145,reviewed,us,us
2018-11-09T16:09:01.650Z,44.7104,145.6708,22.35,4.7,mb,,134,2.283,0.67,us,us1000hptn,2018-11-09T17:02:14.040Z,"72km NNW of Otrada, Russia",earthquake,8.2,6.1,0.058,90,reviewed,us,us
2018-11-08T23:05:36.690Z,40.7338,142.5527,46.17,4.5,mb,,124,1.131,0.59,us,us1000hphe,2018-11-19T00:16:21.977Z,"92km ENE of Hachinohe, Japan",earthquake,6.5,6.5,0.059,84,reviewed,us,us
2018-11-06T14:26:50.330Z,46.4029,150.6558,93,4.8,mb,,129,6.946,1,us,us2000i7i1,2018-11-14T16:59:08.040Z,"251km ENE of Kuril'sk, Russia",earthquake,10.9,7.1,0.033,286,reviewed,us,us
2018-11-06T14:06:55.430Z,31.3464,130.2914,153.81,4.5,mb,,95,1.841,0.7,us,us2000i7h0,2018-11-14T16:31:20.040Z,"8km SSW of Kaseda, Japan",earthquake,5.7,6.6,0.08,46,reviewed,us,us
2018-11-06T05:41:00.690Z,29.2926,130.5364,35,4.8,mb,,115,3.16,0.76,us,us2000i7bj,2018-11-06T06:05:40.040Z,"145km NE of Naze, Japan",earthquake,8.5,2,0.055,101,reviewed,us,us
2018-11-05T14:46:58.690Z,29.2376,130.5301,36.22,5,mww,,108,3.115,0.88,us,us2000i70p,2018-11-12T21:25:56.040Z,"140km NE of Naze, Japan",earthquake,5.7,5.2,0.073,18,reviewed,us,us
2018-11-05T14:39:14.980Z,29.2918,130.5495,20.13,4.8,mb,,108,3.167,0.54,us,us2000i70k,2018-11-12T21:23:53.040Z,"146km NE of Naze, Japan",earthquake,6.1,3,0.06,102,reviewed,us,us
2018-11-05T13:16:03.290Z,44.4808,145.5972,13.17,4.5,mb,,134,2.187,0.66,us,us2000i6zx,2018-11-12T20:47:00.040Z,"50km NNW of Otrada, Russia",earthquake,8.4,5.8,0.091,35,reviewed,us,us
2018-11-04T23:19:17.300Z,33.6271,135.2732,38.72,4.5,mwr,,73,1.169,0.63,us,us2000i6tg,2018-11-05T00:19:33.979Z,"14km SW of Tanabe, Japan",earthquake,5.4,4.1,0.075,17,reviewed,us,us
2018-11-04T19:26:03.230Z,44.5643,145.5939,8.03,5.9,mww,,61,2.198,0.8,us,us2000i6sc,2018-11-05T16:18:25.040Z,"59km NNW of Otrada, Russia",earthquake,6.9,3.5,0.065,23,reviewed,us,us
2018-11-04T13:08:27.270Z,41.8346,141.4836,105.19,4.7,mb,,107,1.09,0.54,us,us2000i6qk,2018-11-11T19:46:05.452Z,"62km E of Hakodate, Japan",earthquake,8.1,7.7,0.034,268,reviewed,us,us
2018-11-02T18:19:30.230Z,36.3247,141.9646,18.75,4.9,mb,,115,1.805,0.79,us,us2000i62w,2018-11-03T16:51:17.040Z,"119km ESE of Takahagi, Japan",earthquake,6.6,4.2,0.049,133,reviewed,us,us
2018-11-02T11:01:15.810Z,47.8166,146.7181,431.95,5.9,mww,,25,2.822,0.82,us,us2000i5tk,2018-11-03T15:23:13.040Z,"202km SW of Vostok, Russia",earthquake,9.1,5.1,0.068,21,reviewed,us,us
2018-11-02T07:53:55.390Z,33.689,135.1407,35.22,5.4,mww,,57,1.054,0.77,us,us2000i5s1,2018-11-04T09:22:54.015Z,"21km WSW of Tanabe, Japan",earthquake,6.4,6.8,0.063,24,reviewed,us,us
2018-10-31T19:03:11.450Z,43.8269,147.1498,59.39,4.7,mb,,139,3.302,0.62,us,us2000i81n,2018-11-09T00:07:23.040Z,"34km E of Shikotan, Russia",earthquake,13,8.7,0.049,125,reviewed,us,us
2018-10-30T17:59:26.780Z,42.3089,141.0174,124.9,4.5,mb,,79,1.518,0.82,us,us1000hj7k,2018-10-31T15:54:24.040Z,"2km ESE of Muroran, Japan",earthquake,6.5,6.5,0.061,79,reviewed,us,us
2018-10-30T13:46:49.590Z,31.7203,140.595,108.42,4.6,mb,,78,1.54,0.85,us,us2000i7ka,2018-11-06T21:32:20.040Z,"168km SSE of Hachijo-jima, Japan",earthquake,8.2,7.3,0.104,28,reviewed,us,us
2018-10-29T15:32:51.290Z,32.0275,140.8996,49.66,4.8,mb,,127,1.42,0.52,us,us1000hijj,2018-11-06T16:00:31.040Z,"156km SE of Hachijo-jima, Japan",earthquake,10.2,5,0.051,120,reviewed,us,us
2018-10-29T12:25:23.170Z,36.4974,141.2367,46.56,4.5,mb,,143,1.414,1.46,us,us1000hihl,2018-11-09T07:25:19.920Z,"52km ESE of Takahagi, Japan",earthquake,7.7,7,0.086,40,reviewed,us,us
2018-10-29T01:27:44.280Z,31.6133,140.2515,94,5.5,mww,,26,1.542,0.98,us,us1000hiby,2018-11-13T04:16:15.966Z,"168km SSE of Hachijo-jima, Japan",earthquake,6.2,1.8,0.056,31,reviewed,us,us
2018-10-28T14:46:29.010Z,36.9038,141.6538,35,4.9,mb,,146,1.184,0.97,us,us1000hi8c,2018-11-04T20:03:17.831Z,"70km ESE of Iwaki, Japan",earthquake,6.9,2,0.119,37,reviewed,us,us
2018-10-28T13:28:59.670Z,37.1874,142.3293,8.74,4.5,mb,,152,1.4,0.68,us,us2000i5z9,2018-11-04T16:46:48.040Z,"122km ESE of Namie, Japan",earthquake,5.1,5.9,0.181,9,reviewed,us,us
2018-10-28T06:27:24.340Z,29.7245,130.6764,44.5,4.6,mb,,128,3.394,0.66,us,us1000hi5s,2018-11-22T12:42:56.040Z,"116km SSW of Nishinoomote, Japan",earthquake,8.5,7.9,0.067,68,reviewed,us,us
2018-10-27T11:39:13.970Z,40.1961,142.3206,53.57,4.8,mww,,120,1.126,0.72,us,us1000hhyk,2018-11-02T11:51:04.545Z,"69km NNE of Miyako, Japan",earthquake,6.4,6,0.086,13,reviewed,us,us
2018-10-27T00:08:02.860Z,36.9011,141.2901,9.7,4.8,mww,,94,1.045,0.59,us,us1000hhty,2018-11-04T00:42:12.168Z,"39km ESE of Iwaki, Japan",earthquake,4.7,3,0.089,12,reviewed,us,us
2018-10-26T08:45:35.120Z,31.1987,130.6371,117.01,4.5,mb,,101,1.931,0.55,us,us1000hhgn,2018-11-15T11:35:23.040Z,"4km SSW of Ibusuki, Japan",earthquake,8.6,8.3,0.128,18,reviewed,us,us
2018-10-26T03:14:36.750Z,44.6221,145.6544,10,4.7,mb,,134,2.252,0.6,us,us1000hhed,2018-10-26T03:33:58.040Z,"63km NNW of Otrada, Russia",earthquake,6.1,1.9,0.051,115,reviewed,us,us
2018-10-26T03:06:18.410Z,44.4503,145.5656,10,5.1,mb,,54,2.16,0.71,us,us2000i5d7,2018-11-02T05:09:55.040Z,"48km NNW of Otrada, Russia",earthquake,5.6,1.8,0.095,36,reviewed,us,us
2018-10-26T03:04:53.700Z,44.5381,145.401,10,5.6,mww,,60,2.058,1.07,us,us1000hhe5,2018-10-27T01:28:42.542Z,"63km NW of Otrada, Russia",earthquake,7,1.8,0.073,18,reviewed,us,us
2018-10-25T18:36:09.090Z,38.3158,141.785,40,5.7,mww,,62,0.903,0.86,us,us1000hh6r,2018-10-31T17:10:42.289Z,"43km ESE of Ishinomaki, Japan",earthquake,6.5,1.9,0.05,38,reviewed,us,us
2018-10-24T20:01:24.950Z,37.339,142.2702,23.37,4.5,mb,,136,1.289,0.77,us,us1000hj3w,2018-10-30T21:13:16.040Z,"113km E of Namie, Japan",earthquake,6.9,6.2,0.157,12,reviewed,us,us
2018-10-23T11:06:21.730Z,38.3475,141.777,44.25,4.6,mwr,,116,0.913,0.75,us,us1000hg2q,2018-10-23T16:53:52.165Z,"42km E of Ishinomaki, Japan",earthquake,6.6,6.6,0.073,18,reviewed,us,us
2018-10-22T15:21:42.020Z,37.8031,143.852,10,4.5,mb,,153,2.425,0.6,us,us1000hh34,2018-10-30T20:12:51.040Z,"233km ESE of Ishinomaki, Japan",earthquake,9.8,1.9,0.172,10,reviewed,us,us
2018-10-22T10:47:19.230Z,37.5957,141.3821,46.64,5,mb,,103,0.543,1.54,us,us1000hfk1,2018-10-22T20:56:54.599Z,"35km ENE of Namie, Japan",earthquake,7.5,5.7,0.034,284,reviewed,us,us
2018-10-21T22:07:38.270Z,28.9647,143.571,10,4.6,mb,,151,2.229,0.55,us,us1000hh1t,2018-11-26T01:42:04.040Z,"247km NNE of Chichi-shima, Japan",earthquake,4.7,1.9,0.125,21,reviewed,us,us
2018-10-21T11:02:52.090Z,35.1704,140.6009,38.05,4.6,mb,,120,2.046,0.96,us,us1000hf8e,2018-10-26T07:58:01.040Z,"21km ESE of Ohara, Japan",earthquake,6.7,7.7,0.073,56,reviewed,us,us
2018-10-20T09:51:20.510Z,49.3746,156.1303,42.62,4.8,mb,,161,3.866,0.58,us,us1000hexl,2018-11-15T10:25:37.040Z,"145km S of Severo-Kuril'sk, Russia",earthquake,10.4,4.2,0.048,132,reviewed,us,us
2018-10-20T01:51:12.780Z,37.0022,141.2542,19.86,4.5,mb,,135,0.941,0.94,us,us1000hgxl,2018-11-15T23:23:10.040Z,"33km E of Iwaki, Japan",earthquake,6.5,5.3,0.14,15,reviewed,us,us
2018-10-19T17:30:31.520Z,42.3707,142.9248,42.66,4.6,mb,,99,0.395,0.68,us,us1000helt,2018-11-20T16:56:45.040Z,"46km E of Shizunai, Japan",earthquake,3.5,6.7,0.053,108,reviewed,us,us
2018-10-18T22:19:36.270Z,33.5493,141.2363,34.35,4.7,mb,,146,1.267,0.74,us,us1000hg4f,2018-10-29T22:14:18.040Z,"143km ENE of Hachijo-jima, Japan",earthquake,3.1,7.6,0.159,12,reviewed,us,us
2018-10-18T12:52:23.790Z,38.4427,142.1305,47.47,4.5,mb,,176,1.202,0.9,us,us1000hg41,2018-11-21T09:50:11.040Z,"72km E of Ishinomaki, Japan",earthquake,8.8,10.2,0.18,9,reviewed,us,us
2018-10-18T12:35:55.060Z,32.0877,141.8781,23.6,4.6,mb,,126,2.021,0.56,us,us1000hdvs,2018-11-21T09:57:45.040Z,"224km ESE of Hachijo-jima, Japan",earthquake,7,4.9,0.091,36,reviewed,us,us
2018-10-18T07:23:43.370Z,47.0156,152.8699,57.9,4.6,mb,,183,6.844,0.64,us,us1000hg3y,2018-11-07T10:57:47.040Z,"Kuril Islands",earthquake,14.7,11.9,0.107,26,reviewed,us,us
2018-10-18T05:18:22.660Z,35.5209,140.9905,35.02,4.9,mb,,114,0.592,0.69,us,us1000hdrw,2018-11-14T11:24:04.326Z,"27km SSE of Hasaki, Japan",earthquake,5.9,5.5,0.037,234,reviewed,us,us
2018-10-17T13:29:08.420Z,29.1271,141.0014,80.18,5.2,mb,,100,2.277,0.51,us,us1000hdbn,2018-11-07T09:35:18.040Z,"256km NNW of Chichi-shima, Japan",earthquake,8.2,7.1,0.052,121,reviewed,us,us
2018-10-17T02:58:54.340Z,25.947,128.4265,18.41,4.8,mb,,80,0.896,0.88,us,us1000hg1k,2018-10-25T00:53:05.040Z,"70km SE of Haebaru, Japan",earthquake,7.3,5.5,0.107,27,reviewed,us,us
2018-10-16T15:15:45.040Z,25.856,128.388,10,4.5,mb,,82,0.981,0.62,us,us1000hehy,2018-10-23T16:43:49.040Z,"74km SE of Haebaru, Japan",earthquake,3.6,1.9,0.15,13,reviewed,us,us
2018-10-16T00:12:09.490Z,41.6267,134.7112,10,4.5,mb,,50,3.257,0.73,us,us1000hclv,2018-10-30T05:31:08.040Z,"156km SSE of Preobrazheniye, Russia",earthquake,7,1.9,0.06,82,reviewed,us,us
2018-10-15T23:34:19.350Z,38.6914,141.8002,56.13,4.5,mb,,130,1.143,0.76,us,us1000hefg,2018-10-29T01:57:58.040Z,"42km S of Ofunato, Japan",earthquake,8.2,10.1,0.15,13,reviewed,us,us
2018-10-15T19:29:46.500Z,47.4724,152.6555,55.69,4.6,mb,,142,6.5,0.83,us,us1000hefe,2018-10-24T18:21:08.040Z,"Kuril Islands",earthquake,13.9,9.2,0.103,28,reviewed,us,us
2018-10-15T16:45:08.770Z,49.3095,151.3519,303.43,4.9,mb,,111,5.51,0.86,us,us1000hcdc,2018-10-22T20:12:53.040Z,"184km ENE of Vostok, Russia",earthquake,9,6.7,0.024,531,reviewed,us,us
2018-10-15T08:05:22.260Z,25.9629,128.6829,10,4.7,mb,,56,0.944,0.58,us,us1000heeq,2018-11-21T16:17:57.040Z,"91km ESE of Haebaru, Japan",earthquake,5.5,1.8,0.066,70,reviewed,us,us
2018-10-15T00:12:55.680Z,32.6162,130.6042,10,4.5,mb,,112,0.556,0.69,us,us1000hc5z,2018-10-30T05:00:22.147Z,"6km WSW of Matsubase, Japan",earthquake,5.2,1.9,0.093,34,reviewed,us,us
2018-10-14T21:58:02.350Z,26.5525,141.6906,35,4.5,mb,,150,0.698,0.67,us,us1000hdzy,2018-11-15T05:43:54.040Z,"78km SW of Chichi-shima, Japan",earthquake,11.3,2,0.113,23,reviewed,us,us
2018-10-14T00:30:28.330Z,38.2959,141.8105,49.3,4.6,mb,,135,0.911,0.49,us,us1000hbuc,2018-10-26T23:31:53.040Z,"46km ESE of Ishinomaki, Japan",earthquake,6.9,8,0.137,16,reviewed,us,us
2018-10-13T23:19:55.050Z,25.8498,128.1607,10,4.6,mb,,213,0.987,0.82,us,us1000hdxj,2018-10-26T22:32:40.040Z,"57km ESE of Itoman, Japan",earthquake,7,1.9,0.086,40,reviewed,us,us
2018-10-13T16:35:01.770Z,27.8272,127.1416,171.69,4.6,mb,,72,1.409,0.97,us,us1000hbqa,2018-11-10T14:34:58.040Z,"160km NNW of Nago, Japan",earthquake,7.9,7.1,0.061,81,reviewed,us,us
2018-10-13T12:29:05.270Z,26.3139,128.842,18.24,4.5,mb,,73,0.728,0.72,us,us1000hdx2,2018-10-20T06:04:20.040Z,"91km ESE of Nago, Japan",earthquake,7.5,5,0.088,38,reviewed,us,us
2018-10-13T11:33:45.780Z,39.3602,143.4791,10,4.6,mb,,157,2.338,0.87,us,us1000hdx0,2018-10-19T13:20:54.040Z,"132km E of Yamada, Japan",earthquake,7.2,1.9,0.147,14,reviewed,us,us
2018-10-12T22:22:01.600Z,49.3107,156.1359,10,4.9,mb,,135,3.927,0.66,us,us1000hbe6,2018-11-22T01:12:11.040Z,"152km S of Severo-Kuril'sk, Russia",earthquake,8.6,1.9,0.035,261,reviewed,us,us
2018-10-12T21:38:24.710Z,47.1406,146.6593,355.35,5.1,mb,,46,2.672,0.68,us,us1000hbde,2018-10-28T03:48:49.040Z,"232km NNW of Kuril'sk, Russia",earthquake,8.3,5.5,0.019,854,reviewed,us,us
2018-10-12T13:58:37.050Z,49.1822,156.2022,10,4.8,mb,,189,4.042,0.9,us,us1000hb2e,2018-10-19T11:10:52.040Z,"166km S of Severo-Kuril'sk, Russia",earthquake,10.7,2,0.093,36,reviewed,us,us
2018-10-12T12:57:16.780Z,47.8596,155.7742,33.72,4.5,mb,,140,5.396,0.94,us,us1000hb22,2018-11-12T10:43:22.040Z,"East of the Kuril Islands",earthquake,8.9,5.8,0.054,103,reviewed,us,us
2018-10-12T04:15:47.790Z,35.7549,140.7582,34.51,5.2,mww,,32,0.574,1.48,us,us1000haxq,2018-11-15T04:01:51.040Z,"7km WNW of Hasaki, Japan",earthquake,5.3,3.6,0.071,19,reviewed,us,us
2018-10-12T00:14:27.110Z,42.6212,141.8133,17.94,4.5,mwr,,36,1.166,0.77,us,us1000haw5,2018-10-26T05:31:52.565Z,"17km E of Tomakomai, Japan",earthquake,4.1,3.1,0.075,17,reviewed,us,us
2018-10-11T22:04:24.180Z,48.3694,155.1659,48.25,4.5,mb,,131,5.009,1.47,us,us1000hdcy,2018-10-27T22:05:33.040Z,"266km SSW of Severo-Kuril'sk, Russia",earthquake,14.3,8.2,0.113,23,reviewed,us,us
2018-10-11T15:08:10.770Z,49.2456,156.2422,19.02,5,mww,,33,3.975,0.76,us,us1000hamb,2018-11-20T23:15:27.040Z,"159km S of Severo-Kuril'sk, Russia",earthquake,8.1,2.6,0.075,17,reviewed,us,us
2018-10-11T06:18:42.840Z,27.9648,128.0506,10,4.7,mb,,81,1.141,0.7,us,us1000hah8,2018-11-21T07:00:30.040Z,"147km WSW of Naze, Japan",earthquake,2.2,1.9,0.098,32,reviewed,us,us
2018-10-11T05:47:32.930Z,49.1973,156.1499,10,5.2,mb,,93,4.035,0.74,us,us1000hah2,2018-11-21T06:56:29.040Z,"164km S of Severo-Kuril'sk, Russia",earthquake,8.5,1.8,0.026,494,reviewed,us,us
2018-10-11T03:38:38.410Z,49.2508,156.1857,10,4.8,mb,,135,3.978,0.59,us,us1000hagg,2018-11-19T22:31:29.040Z,"158km S of Severo-Kuril'sk, Russia",earthquake,10.2,1.9,0.052,116,reviewed,us,us
2018-10-11T02:16:16.320Z,49.2243,156.1998,10,5.2,mb,,83,4.002,0.64,us,us1000haff,2018-11-19T22:30:12.040Z,"161km S of Severo-Kuril'sk, Russia",earthquake,8.5,1.8,0.026,485,reviewed,us,us
2018-10-11T01:30:20.900Z,49.3443,156.0955,10,5,mb,,135,3.901,0.44,us,us1000haf0,2018-11-14T03:18:50.040Z,"148km S of Severo-Kuril'sk, Russia",earthquake,9.8,1.9,0.064,78,reviewed,us,us
2018-10-11T00:14:39.760Z,49.3262,156.2063,10,5.4,mb,,73,3.901,0.71,us,us1000hadv,2018-11-21T01:10:59.040Z,"150km S of Severo-Kuril'sk, Russia",earthquake,8.3,1.8,0.039,228,reviewed,us,us
2018-10-11T00:14:18.740Z,49.4323,156.0849,10,4.7,mb,,177,3.818,0.5,us,us1000hae0,2018-10-25T22:27:03.040Z,"138km S of Severo-Kuril'sk, Russia",earthquake,7.4,1.9,0.099,31,reviewed,us,us
2018-10-10T23:26:12.490Z,49.1392,156.193,10,4.8,mb,,112,4.086,0.62,us,us1000hcxb,2018-10-25T05:55:00.040Z,"171km S of Severo-Kuril'sk, Russia",earthquake,10.5,1.9,0.095,34,reviewed,us,us
2018-10-10T23:21:50.620Z,49.2,156.28,10,5.5,mb,,65,4.014,0.57,us,us1000hcxa,2018-10-25T02:59:11.005Z,"164km S of Severo-Kuril'sk, Russia",earthquake,8,1.8,0.048,148,reviewed,us,us
2018-10-10T23:19:42.580Z,49.1265,156.302,10,5.2,mb,,195,4.173,0.66,us,us1000hcxg,2018-10-25T02:19:55.040Z,"173km S of Severo-Kuril'sk, Russia",earthquake,7.5,2,0.159,13,reviewed,us,us
2018-10-10T23:16:02.130Z,49.2902,156.2968,20,6.5,mww,,14,3.923,0.64,us,us1000hacw,2018-10-25T02:00:36.442Z,"154km S of Severo-Kuril'sk, Russia",earthquake,7.4,1.8,0.053,34,reviewed,us,us
2018-10-09T19:58:38.840Z,39.0221,142.4627,22.81,4.6,mb,,135,1.746,0.91,us,us1000h9la,2018-11-06T18:55:00.040Z,"56km ESE of Kamaishi, Japan",earthquake,7.3,5.6,0.062,78,reviewed,us,us
2018-10-09T13:25:00.630Z,44.2535,149.8354,10,4.6,mb,,153,5.21,1.01,us,us1000hcsm,2018-10-16T20:17:21.040Z,"189km SE of Kuril'sk, Russia",earthquake,10.4,1.9,0.146,14,reviewed,us,us
2018-10-09T08:07:03.000Z,49.4001,156.2184,10,4.6,mb,,169,3.828,1.28,us,us1000h984,2018-11-20T06:36:52.040Z,"142km S of Severo-Kuril'sk, Russia",earthquake,11.9,2,0.128,18,reviewed,us,us
2018-10-09T07:45:11.640Z,49.3959,156.2425,19,6.1,mww,,57,3.828,0.89,us,us1000h97j,2018-11-20T06:35:01.360Z,"142km S of Severo-Kuril'sk, Russia",earthquake,6.5,1.7,0.059,28,reviewed,us,us
2018-10-09T04:16:45.830Z,41.0022,142.2267,50.85,4.5,mb,,128,0.906,0.56,us,us1000h952,2018-11-14T05:16:32.040Z,"81km ENE of Misawa, Japan",earthquake,5.5,7,0.079,47,reviewed,us,us
2018-10-09T03:09:04.130Z,27.9703,128.2198,10,4.6,mb,,49,1.13,0.78,us,us1000h966,2018-11-19T23:54:57.040Z,"131km WSW of Naze, Japan",earthquake,2.6,1.9,0.091,36,reviewed,us,us
2018-10-09T02:32:14.430Z,29.9016,141.0843,48.3,4.5,mb,,108,2.958,0.52,us,us1000hcs8,2018-11-15T04:26:02.040Z,"Izu Islands, Japan region",earthquake,10.5,7.7,0.09,36,reviewed,us,us
2018-10-08T23:14:39.670Z,45.8362,150.4817,104.74,4.5,mb,,144,5.853,0.92,us,us1000h92e,2018-10-28T00:38:27.040Z,"213km ENE of Kuril'sk, Russia",earthquake,11.6,8.4,0.057,90,reviewed,us,us
2018-10-08T19:52:02.310Z,37.3655,141.5211,35,4.7,mb,,129,0.768,0.71,us,us1000h8xg,2018-10-17T17:06:28.425Z,"47km ESE of Namie, Japan",earthquake,6.9,1.9,0.042,175,reviewed,us,us
2018-10-08T15:45:15.350Z,28.4707,141.6854,37.76,4.6,mb,,117,1.439,0.63,us,us1000hb5z,2018-10-16T16:10:42.040Z,"162km NNW of Chichi-shima, Japan",earthquake,9.7,8.6,0.107,26,reviewed,us,us
2018-10-08T15:23:28.720Z,44.5672,148.2793,50.11,4.6,mb,,143,4.103,0.83,us,us1000hb5x,2018-10-16T15:24:06.040Z,"80km SSE of Kuril'sk, Russia",earthquake,7.5,5.4,0.244,12,reviewed,us,us
2018-10-08T14:44:46.870Z,23.6085,143.815,12.11,4.7,mb,,114,3.772,0.58,us,us1000hb63,2018-10-16T13:31:33.040Z,"283km ESE of Iwo Jima, Japan",earthquake,11.3,5.4,0.106,27,reviewed,us,us
2018-10-08T14:18:05.220Z,23.5895,143.7463,10,4.5,mb,,120,3.766,0.53,us,us1000hb5s,2018-10-15T17:08:58.040Z,"278km ESE of Iwo Jima, Japan",earthquake,13,1.9,0.09,36,reviewed,us,us
2018-10-08T12:53:59.330Z,42.6258,141.9864,34,4.6,mb,,68,1.061,0.66,us,us1000h8q7,2018-10-19T07:47:07.566Z,"31km E of Tomakomai, Japan",earthquake,7.4,2.3,0.061,81,reviewed,us,us
