No,Zaman (UTC),Ref1,Kaynak Aç?klama 1,Enlem,Boylam,Derinlik,Sabit Derinlik,Kaynak No 2,Kaynak Aç?klama 2,Tip,Büyüklük,Kaynak No 3,Kaynak Aç?klama 3,Yer
0,2020-01-24 18:17:57,0, ,38.3891,38.9261,14.62,-,7,AFAD-DDA,ML,4.0,7,AFAD-DDA,-
0,2020-01-24 18:08:05,0, ,38.4140,39.2006,7.03,-,7,AFAD-DDA,ML,4.5,7,AFAD-DDA,-
0,2020-01-24 17:55:11,0, ,38.3593,39.0630,8.06,-,7,AFAD-DDA,Mw,6.8,7,AFAD-DDA,-
0,2020-01-23 03:54:11,0, ,40.1158,33.2610,13.65,-,7,AFAD-DDA,Mw,4.5,7,AFAD-DDA,-
0,2020-01-23 00:45:23,0, ,39.0390,27.8658,6.98,-,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA,-
0,2020-01-22 22:39:18,0, ,39.0250,27.8481,7.86,-,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA,-
0,2020-01-22 21:52:05,0, ,39.0715,27.8511,7.01,-,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA,-
0,2020-01-22 21:30:10,0, ,39.0475,27.8460,7.29,-,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA,-
0,2020-01-22 21:24:07,0, ,39.0513,27.8638,6.98,-,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA,-
0,2020-01-22 20:17:38,0, ,39.0641,27.8646,6.95,-,7,AFAD-DDA,Mw,4.3,7,AFAD-DDA,-
0,2020-01-22 19:48:30,0, ,39.0763,27.8210,7.00,-,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA,-
0,2020-01-22 19:25:13,0, ,39.0723,27.8523,7.01,-,7,AFAD-DDA,ML,4.1,7,AFAD-DDA,-
0,2020-01-22 19:22:16,0, ,39.0488,27.8443,10.35,-,7,AFAD-DDA,Mw,5.4,7,AFAD-DDA,-
0,2020-01-22 14:46:30,0, ,38.8658,27.2818,14.50,-,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA,-
0,2020-01-18 01:28:43,0, ,41.0395,43.9678,7.34,-,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA,-
0,2020-01-11 13:37:36,0, ,40.8646,28.2086,10.82,-,7,AFAD-DDA,Mw,4.7,7,AFAD-DDA,-
0,2020-01-04 22:11:29,0, ,37.9433,26.4570,12.12,-,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA,-
0,2019-12-30 18:01:41,0, ,42.2370,23.4648,23.18,-,7,AFAD-DDA,Mw,4.4,7,AFAD-DDA,-
0,2019-12-29 11:20:08,0, ,40.3230,42.1726,7.00,-,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA,-
0,2019-12-27 07:02:25,0, ,38.3898,39.0158,11.88,-,7,AFAD-DDA,Mw,4.9,7,AFAD-DDA,-
0,2019-12-22 23:58:03,0, ,39.4648,40.0195,13.21,-,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA,-
0,2019-12-12 03:05:34,0, ,34.6565,26.0756,6.67,-,7,AFAD-DDA,Mw,4.9,7,AFAD-DDA,-
0,2019-12-10 21:58:27,0, ,35.3641,26.7983,22.63,-,7,AFAD-DDA,Mw,5.1,7,AFAD-DDA,-
0,2019-12-10 20:46:18,0, ,39.4411,27.9005,14.36,-,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA,-
0,2019-12-10 20:24:05,0, ,39.4435,27.9103,11.28,-,7,AFAD-DDA,Mw,4.3,7,AFAD-DDA,-
0,2019-12-10 20:14:03,0, ,39.4430,27.9336,7.00,-,7,AFAD-DDA,Mw,4.6,7,AFAD-DDA,-
0,2019-12-08 22:41:20,0, ,35.0830,23.9680,33.30,-,7,AFAD-DDA,Mw,4.5,7,AFAD-DDA,-
0,2019-12-08 03:42:07,0, ,35.3270,24.3790,39.30,-,7,AFAD-DDA,Mw,4.3,7,AFAD-DDA,-
0,2019-12-07 14:47:03,0, ,35.2926,24.2866,7.90,-,7,AFAD-DDA,Mw,4.3,7,AFAD-DDA,-
0,2019-12-07 14:35:04,0, ,35.3130,24.4333,7.18,-,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA,-
0,2019-12-03 09:45:57,0, ,35.2466,27.1506,7.77,-,7,AFAD-DDA,Mw,4.3,7,AFAD-DDA,-
0,2019-12-01 06:07:47,0, ,40.3255,42.2033,7.04,-,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA,-
0,2019-12-01 06:07:21,0, ,40.3106,42.1895,6.97,-,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA,-
0,2019-11-27 07:23:40,0, ,36.0325,23.4446,6.44,-,7,AFAD-DDA,Mw,5.9,7,AFAD-DDA,-
0,2019-11-26 20:03:24,0, ,37.8430,29.6411,7.00,-,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA,-
0,2019-11-24 13:33:22,0, ,37.6265,35.6468,11.25,-,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA,-
0,2019-11-19 00:14:10,0, ,38.5041,44.5200,6.48,-,7,AFAD-DDA,Mw,4.7,7,AFAD-DDA,-
0,2019-11-17 17:14:25,0, ,37.7138,23.1380,6.94,-,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA,-
0,2019-11-16 18:14:11,0, ,36.7860,29.9871,53.54,-,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA,-
0,2019-11-15 18:15:12,0, ,37.3110,23.9800,15.00,-,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA,-
0,2019-11-11 00:58:39,0, ,38.4658,45.3360,7.08,-,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA,-
0,2019-11-07 23:07:17,0, ,36.4751,45.2083,6.80,-,7,AFAD-DDA,ML,4.3,7,AFAD-DDA,-
0,2019-10-29 13:01:57,0, ,35.7960,25.3680,38.00,-,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA,-
0,2019-10-24 21:06:47,0, ,36.4600,28.7003,7.02,-,7,AFAD-DDA,Mw,4.6,7,AFAD-DDA,-
0,2019-10-20 06:53:53,0, ,38.9521,43.6836,9.41,-,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA,-
0,2019-10-15 14:57:27,0, ,41.9405,42.9398,21.70,-,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA,-
0,2019-10-10 23:55:59,0, ,39.4578,25.7656,28.56,-,7,AFAD-DDA,Mw,4.3,7,AFAD-DDA,-
0,2019-10-10 16:52:03,0, ,40.6778,29.2473,13.86,-,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA,-
0,2019-10-05 14:51:40,0, ,36.1000,28.0540,65.60,-,7,AFAD-DDA,Mw,4.3,7,AFAD-DDA,-
0,2019-10-04 20:20:20,0, ,36.0468,27.5368,12.20,-,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA,-
0,2019-10-03 04:44:56,0, ,36.3133,28.4983,18.74,-,7,AFAD-DDA,Mw,5.0,7,AFAD-DDA,-
0,2019-09-29 07:51:08,0, ,36.5731,27.8306,23.47,-,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA,-
0,2019-09-26 11:26:36,0, ,40.8416,28.2726,4.58,-,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA,-
0,2019-09-26 10:59:25,0, ,40.8818,28.2140,7.97,-,7,AFAD-DDA,Mw,5.8,7,AFAD-DDA,-
0,2019-09-24 08:00:22,0, ,40.8836,28.2160,5.91,-,7,AFAD-DDA,Mw,4.6,7,AFAD-DDA,-
0,2019-09-24 07:49:00,0, ,34.6226,26.3698,9.13,-,7,AFAD-DDA,Mw,5.0,7,AFAD-DDA,-
0,2019-09-23 07:09:02,0, ,36.0096,27.0815,29.60,-,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA,-
0,2019-09-14 19:03:32,0, ,40.7320,32.9818,10.61,-,7,AFAD-DDA,Mw,4.3,7,AFAD-DDA,-
0,2019-09-14 18:08:43,0, ,40.7285,32.9851,10.22,-,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA,-
0,2019-09-14 15:33:42,0, ,38.9840,44.3491,11.78,-,7,AFAD-DDA,Mw,4.5,7,AFAD-DDA,-
0,2019-09-14 15:02:31,0, ,34.9170,27.6371,7.98,-,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA,-
0,2019-09-14 11:46:01,0, ,40.7316,32.9640,8.41,-,7,AFAD-DDA,Mw,4.3,7,AFAD-DDA,-
0,2019-09-14 06:03:11,0, ,40.7220,32.9483,5.83,-,7,AFAD-DDA,Mw,4.8,7,AFAD-DDA,-
0,2019-09-14 06:00:30,0, ,40.7300,32.9675,7.96,-,7,AFAD-DDA,Mw,4.7,7,AFAD-DDA,-
0,2019-09-10 16:24:40,0, ,41.0498,43.7831,6.95,-,7,AFAD-DDA,Mw,4.3,7,AFAD-DDA,-
0,2019-09-10 16:22:45,0, ,41.0181,43.8863,7.59,-,7,AFAD-DDA,Mw,4.7,7,AFAD-DDA,-
0,2019-09-10 07:06:47,0, ,35.7205,27.6791,6.73,-,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA,-
0,2019-09-09 09:56:00,0, ,38.5275,44.2438,21.26,-,7,AFAD-DDA,Mw,4.3,7,AFAD-DDA,-
0,2019-09-06 08:59:55,0, ,35.9890,31.6680,33.90,-,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA,-
0,2019-09-04 01:01:29,0, ,35.0271,27.8746,21.77,-,7,AFAD-DDA,Mw,4.5,7,AFAD-DDA,-
0,2019-09-02 15:46:34,0, ,39.1418,40.1853,11.19,-,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA,-
0,2019-08-30 17:21:05,0, ,37.5363,26.7901,7.19,-,7,AFAD-DDA,Mw,4.4,7,AFAD-DDA,-
0,2019-08-30 15:38:14,0, ,37.5405,26.8050,7.11,-,7,AFAD-DDA,Mw,4.4,7,AFAD-DDA,-
0,2019-08-29 22:15:07,0, ,36.3860,35.5600,18.23,-,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA,-
0,2019-08-28 11:58:19,0, ,35.7948,27.6150,27.13,-,7,AFAD-DDA,Mw,4.6,7,AFAD-DDA,-
0,2019-08-27 06:24:38,0, ,38.2888,23.7256,8.38,-,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA,-
0,2019-08-27 04:31:26,0, ,35.8936,27.6675,34.44,-,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA,-
0,2019-08-20 09:34:52,0, ,36.2676,31.2746,36.29,-,7,AFAD-DDA,Mw,4.3,7,AFAD-DDA,-
0,2019-08-13 21:11:23,0, ,36.2800,23.7980,13.90,-,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA,-
0,2019-08-12 23:38:51,0, ,35.1316,27.8640,26.97,-,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA,-
0,2019-08-12 13:34:27,0, ,38.3153,40.8303,6.41,-,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA,-
0,2019-08-12 07:57:12,0, ,35.9860,25.8330,45.40,-,7,AFAD-DDA,Mw,4.4,7,AFAD-DDA,-
0,2019-08-11 12:35:05,0, ,35.1476,27.8440,6.60,-,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA,-
0,2019-08-11 07:02:59,0, ,34.9665,25.6081,6.18,-,7,AFAD-DDA,Mw,4.6,7,AFAD-DDA,-
0,2019-08-08 11:25:30,0, ,37.8510,29.5840,10.92,-,7,AFAD-DDA,Mw,6.0,7,AFAD-DDA,-
0,2019-08-08 11:19:35,0, ,37.8280,29.6140,17.70,-,7,AFAD-DDA,ML,4.2,7,AFAD-DDA,-
0,2019-08-08 08:39:08,0, ,37.9720,26.9535,18.47,-,7,AFAD-DDA,Mw,4.8,7,AFAD-DDA,-
0,2019-08-03 09:51:23,0, ,34.8910,27.6590,68.30,-,7,AFAD-DDA,Mw,5.0,7,AFAD-DDA,-
0,2019-07-31 04:40:08,0, ,35.4680,25.2420,83.80,-,7,AFAD-DDA,Mw,4.6,7,AFAD-DDA,-
0,2019-07-19 11:42:17,0, ,38.1870,23.7790,7.18,-,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA,-
0,2019-07-15 00:15:26,0, ,40.4308,41.7896,7.03,-,7,AFAD-DDA,Mw,4.3,7,AFAD-DDA,-
0,2019-07-10 22:57:15,0, ,34.9540,24.2730,34.80,-,7,AFAD-DDA,Mw,4.4,7,AFAD-DDA,-
0,2019-07-10 10:56:22,0, ,36.8296,43.3895,9.13,-,7,AFAD-DDA,Mw,4.5,7,AFAD-DDA,-
0,2019-07-04 04:01:31,0, ,35.2830,25.5463,6.03,-,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA,-
0,2019-07-03 01:02:11,0, ,35.2833,27.8163,6.72,-,7,AFAD-DDA,Mw,4.3,7,AFAD-DDA,-
0,2019-06-19 08:07:56,0, ,35.7231,42.8793,8.19,-,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA,-
0,2019-06-19 00:45:30,0, ,39.5406,38.6421,9.71,-,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA,-
0,2019-06-02 13:08:47,0, ,40.7450,30.7611,6.29,-,7,AFAD-DDA,Mw,4.6,7,AFAD-DDA,-
0,2019-05-30 21:43:45,0, ,36.9386,27.6573,7.01,-,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA,-
0,2019-05-29 19:42:25,0, ,39.2716,39.8848,7.28,-,7,AFAD-DDA,Mw,4.5,7,AFAD-DDA,-
0,2019-05-28 05:27:46,0, ,36.9453,27.6741,8.52,-,7,AFAD-DDA,Mw,4.6,7,AFAD-DDA,-
0,2019-05-19 11:34:22,0, ,36.8955,27.6158,17.16,-,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA,-
0,2019-05-12 22:24:08,0, ,39.3191,27.8986,11.53,-,7,AFAD-DDA,Mw,4.3,7,AFAD-DDA,-
0,2019-04-29 18:02:44,0, ,39.3980,26.3175,6.97,-,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA,-
0,2019-04-29 04:43:15,0, ,35.2785,27.6585,38.48,-,7,AFAD-DDA,Mw,4.8,7,AFAD-DDA,-
0,2019-04-26 09:16:12,0, ,34.9791,27.3553,8.99,-,7,AFAD-DDA,Mw,4.4,7,AFAD-DDA,-
0,2019-04-22 19:36:38,0, ,37.1218,28.6813,6.94,-,7,AFAD-DDA,Mw,4.3,7,AFAD-DDA,-
0,2019-04-15 04:41:28,0, ,38.7686,38.1600,17.77,-,7,AFAD-DDA,Mw,4.5,7,AFAD-DDA,-
0,2019-04-08 17:38:19,0, ,38.7720,38.1586,16.55,-,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA,-
0,2019-04-07 08:27:32,0, ,41.1720,46.7150,39.80,-,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA,-
0,2019-04-04 17:31:07,0, ,38.3865,39.1205,8.92,-,7,AFAD-DDA,Mw,5.2,7,AFAD-DDA,-
0,2019-04-04 15:01:18,0, ,37.4646,29.3365,7.17,-,7,AFAD-DDA,Mw,4.3,7,AFAD-DDA,-
0,2019-04-02 08:00:15,0, ,35.7315,23.5731,6.28,-,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA,-
0,2019-04-01 01:49:29,0, ,37.4785,29.3573,7.67,-,7,AFAD-DDA,Mw,4.5,7,AFAD-DDA,-
0,2019-03-31 11:45:32,0, ,37.5031,29.3721,7.01,-,7,AFAD-DDA,ML,4.1,7,AFAD-DDA,-
0,2019-03-31 11:30:15,0, ,37.4725,29.3938,10.30,-,7,AFAD-DDA,Mw,4.9,7,AFAD-DDA,-
0,2019-03-28 04:19:22,0, ,38.7818,38.1505,16.98,-,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA,-
0,2019-03-27 11:27:02,0, ,37.4703,29.4201,6.51,-,7,AFAD-DDA,Mw,4.3,7,AFAD-DDA,-
0,2019-03-25 11:29:23,0, ,38.7690,38.1668,10.72,-,7,AFAD-DDA,Mw,4.5,7,AFAD-DDA,-
0,2019-03-25 06:15:27,0, ,37.3910,29.4038,3.27,-,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA,-
0,2019-03-22 18:24:36,0, ,35.2110,28.0000,42.60,-,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA,-
0,2019-03-22 15:32:46,0, ,37.4650,29.3685,7.00,-,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA,-
0,2019-03-21 05:51:07,0, ,38.7653,38.1611,16.08,-,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA,-
0,2019-03-20 17:42:55,0, ,37.4046,29.4208,6.97,-,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA,-
0,2019-03-20 17:04:17,0, ,37.3875,29.4383,6.99,-,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA,-
0,2019-03-20 12:45:42,0, ,37.4206,29.4018,7.00,-,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA,-
0,2019-03-20 06:51:58,0, ,37.4293,29.4016,6.98,-,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA,-
0,2019-03-20 06:41:56,0, ,37.4655,29.3970,7.00,-,7,AFAD-DDA,Mw,4.5,7,AFAD-DDA,-
0,2019-03-20 06:38:19,0, ,37.4381,29.4395,12.93,-,7,AFAD-DDA,Mw,4.8,7,AFAD-DDA,-
0,2019-03-20 06:34:27,0, ,37.4401,29.4335,10.76,-,7,AFAD-DDA,Mw,5.5,7,AFAD-DDA,-
0,2019-03-16 08:50:18,0, ,34.8245,26.7923,7.50,-,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA,-
0,2019-03-15 21:54:19,0, ,39.7245,25.6710,14.73,-,7,AFAD-DDA,Mw,4.3,7,AFAD-DDA,-
0,2019-03-07 16:25:37,0, ,35.5851,31.1560,21.88,-,7,AFAD-DDA,Mw,4.3,7,AFAD-DDA,-
0,2019-03-04 21:07:27,0, ,40.4570,28.4505,13.72,-,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA,-
0,2019-02-27 16:41:10,0, ,41.3621,23.1658,6.27,-,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA,-
0,2019-02-20 18:23:28,0, ,39.6011,26.4261,5.80,-,7,AFAD-DDA,Mw,5.0,7,AFAD-DDA,-
0,2019-02-20 10:43:25,0, ,34.9040,24.1480,15.00,-,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA,-
0,2019-02-20 05:35:23,0, ,36.2295,35.9290,25.72,-,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA,-
0,2019-02-19 21:33:55,0, ,40.3521,27.1253,6.79,-,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA,-
0,2019-02-18 16:31:30,0, ,38.5730,44.2713,11.25,-,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA,-
0,2019-02-18 03:46:54,0, ,35.6038,24.3823,5.95,-,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA,-
0,2019-02-17 02:31:52,0, ,39.3061,24.1690,7.06,-,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA,-
0,2019-02-16 17:52:04,0, ,35.5101,26.2730,11.18,-,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA,-
0,2019-02-12 17:14:30,0, ,40.5541,33.0075,17.66,-,7,AFAD-DDA,Mw,4.7,7,AFAD-DDA,-
0,2019-02-11 16:38:03,0, ,36.5160,28.8265,12.91,-,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA,-
0,2019-02-05 15:11:52,0, ,36.6115,30.1061,20.51,-,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA,-
0,2019-02-02 12:20:37,0, ,37.2716,35.8176,33.05,-,7,AFAD-DDA,Mw,4.3,7,AFAD-DDA,-
0,2019-02-01 10:29:46,0, ,35.7880,27.1968,30.99,-,7,AFAD-DDA,Mw,4.5,7,AFAD-DDA,-
0,2019-01-29 05:18:27,0, ,34.4581,44.9435,7.55,-,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA,-
0,2019-01-25 20:20:34,0, ,38.5653,27.0743,15.15,-,7,AFAD-DDA,Mw,4.3,7,AFAD-DDA,-
0,2019-01-24 14:30:52,0, ,35.9788,28.0576,51.33,-,7,AFAD-DDA,Mw,5.1,7,AFAD-DDA,-
0,2019-01-22 20:12:08,0, ,36.7891,27.9853,65.88,-,7,AFAD-DDA,Mw,4.5,7,AFAD-DDA,-
0,2019-01-20 15:49:50,0, ,35.5435,28.1908,41.67,-,7,AFAD-DDA,Mw,4.7,7,AFAD-DDA,-
0,2019-01-10 18:24:41,0, ,34.8435,26.8216,8.00,-,7,AFAD-DDA,Mw,4.8,7,AFAD-DDA,-
0,2019-01-08 07:06:09,0, ,35.6856,26.2098,6.78,-,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA,-
0,2019-01-05 19:19:12,0, ,34.7061,45.6083,6.69,-,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA,-
0,2019-01-04 17:17:39,0, ,34.6675,45.0065,5.66,-,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA,-
0,2019-01-01 02:09:34,0, ,39.4006,40.4995,11.68,-,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA,-
0,2018-12-27 14:36:47,0, ,39.5588,38.6271,11.18,-,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA,-
0,2018-12-21 08:31:08,0, ,35.7955,30.6386,31.30,-,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA,-
0,2018-12-20 06:34:24,0, ,40.5938,28.9716,12.47,-,7,AFAD-DDA,Mw,4.5,7,AFAD-DDA,-
0,2018-12-20 04:54:44,0, ,36.6310,23.1180,33.30,-,7,AFAD-DDA,Mw,4.3,7,AFAD-DDA,-
0,2018-12-17 14:40:55,0, ,39.5166,26.1676,8.26,-,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA,-
0,2018-12-16 09:24:31,0, ,39.6245,24.3780,28.60,-,7,AFAD-DDA,Mw,4.4,7,AFAD-DDA,-
0,2018-12-16 01:30:29,0, ,34.9290,32.9570,16.90,-,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA,-
0,2018-12-11 04:11:43,0, ,39.6096,24.1715,9.98,-,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA,-
0,2018-12-03 00:16:18,0, ,35.2881,33.2175,38.89,-,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA,-
0,2018-11-30 15:04:44,0, ,34.7740,26.6130,14.40,-,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA,-
0,2018-11-30 02:36:34,0, ,40.6025,28.9493,14.28,-,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA,-
0,2018-11-27 23:46:00,0, ,36.6493,25.4535,5.95,-,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA,-
0,2018-11-27 23:24:23,0, ,36.6778,25.2620,5.95,-,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA,-
0,2018-11-27 23:16:11,0, ,36.7565,25.8770,16.15,-,7,AFAD-DDA,Mw,4.4,7,AFAD-DDA,-
0,2018-11-25 02:40:11,0, ,35.8300,28.3851,21.06,-,7,AFAD-DDA,Mw,4.4,7,AFAD-DDA,-
0,2018-11-22 05:50:52,0, ,37.2593,42.4641,6.91,-,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA,-
0,2018-11-17 19:19:08,0, ,34.3550,45.9640,34.50,-,7,AFAD-DDA,Mw,4.5,7,AFAD-DDA,-
0,2018-11-15 19:45:04,0, ,34.3926,45.5181,7.17,-,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA,-
